id,row_id,row_title,accounts_included_start,accounts_included_end,accounts_included,accounts_excluded_start,accounts_excluded_end,accounts_excluded,show_amount,style,variable_name,element_name,is_calculated,calculation_formula,is_abstract,data_type,balance_type,show_in_shortened,period_type,created_at,updated_at,block_group,always_show
27,266,Summa finansiella poster,,,,,,,true,S2,SumFinansiellaPoster,FinansiellaPoster,true,ResultatAndelarKoncernForetag+ResultatAndelarIntresseForetag+ResultatOvrigaForetagAgarintresse+ResultatOvrigaFinAnlTillgangar+OvrigaRanteintakter+NedskrFinAnlTillgangarKortPlaceringar+Rantekostnader,false,xbrli:monetaryItemType,CREDIT,true,DURATION,2025-08-04 13:19:34.055692+00,2025-08-05 18:44:32.800482+00,finansiella_poster,false
28,267,Resultat efter finansiella poster,,,,,,,true,S1,SumResultatEfterFinansiellaPoster,ResultatEfterFinansiellaPoster,true,SumRorelseresultat+SumFinansiellaPoster,false,xbrli:monetaryItemType,CREDIT,true,DURATION,2025-08-04 13:19:34.115542+00,2025-08-05 17:59:26.145403+00,,true
29,268,Bokslutsdispositioner,,,,,,,false,H1,BokslutsdispositionerHeader,BokslutsdispositionerAbstract,false,,true,xbrli:stringItemType,,true,DURATION,2025-08-04 13:19:34.176845+00,2025-08-05 18:43:57.622996+00,bokslutsdispositioner,false
30,269,Erhållna koncernbidrag,8820,8829,,,,,true,NORMAL,ErhallnaKoncernbidrag,ErhallnaKoncernbidrag,false,,false,xbrli:monetaryItemType,CREDIT,true,DURATION,2025-08-04 13:19:34.225681+00,2025-08-05 17:28:28.801735+00,bokslutsdispositioner,false
31,270,Lämnade koncernbidrag,8830,8839,,,,,true,NORMAL,LamnadeKoncernbidrag,LamnadeKoncernbidrag,false,,false,xbrli:monetaryItemType,DEBIT,true,DURATION,2025-08-04 13:19:34.277019+00,2025-08-05 17:28:28.801735+00,bokslutsdispositioner,false
32,271,Förändring av periodiseringsfonder,8810,8819,,,,,true,NORMAL,ForandringPeriodiseringsfond,ForandringPeriodiseringsfond,false,,false,xbrli:monetaryItemType,CREDIT,true,DURATION,2025-08-04 13:19:34.324948+00,2025-08-05 17:28:28.801735+00,bokslutsdispositioner,false
33,272,Förändring av överavskrivningar,8850,8859,,,,,true,NORMAL,ForandringOveravskrivningar,ForandringOveravskrivningar,false,,false,xbrli:monetaryItemType,CREDIT,true,DURATION,2025-08-04 13:19:34.369355+00,2025-08-05 17:28:28.801735+00,bokslutsdispositioner,false
34,273,Övriga bokslutsdispositioner,8840,8849,8860-8899,,,,true,NORMAL,OvrigaBokslutsdispositioner,OvrigaBokslutsdispositioner,false,,false,xbrli:monetaryItemType,CREDIT,true,DURATION,2025-08-04 13:19:34.408565+00,2025-08-05 17:28:28.801735+00,bokslutsdispositioner,false
35,274,Summa bokslutsdispositioner,,,,,,,true,S2,SumBokslutsdispositioner,Bokslutsdispositioner,true,ErhallnaKoncernbidrag+LamnadeKoncernbidrag+ForandringPeriodiseringsfond+ForandringOveravskrivningar+OvrigaBokslutsdispositioner,false,xbrli:monetaryItemType,CREDIT,true,DURATION,2025-08-04 13:19:34.451037+00,2025-08-05 18:44:00.469738+00,bokslutsdispositioner,false
36,275,Resultat före skatt,,,,,,,true,S1,SumResultatForeSkatt,ResultatForeSkatt,true,SumResultatEfterFinansiellaPoster+SumBokslutsdispositioner,false,xbrli:monetaryItemType,CREDIT,true,DURATION,2025-08-04 13:19:34.501497+00,2025-08-05 17:59:26.145403+00,,true
37,276,Skatter,,,,,,,false,H1,SkatterHeader,SkatterAbstract,false,,true,xbrli:stringItemType,,true,DURATION,2025-08-04 13:19:34.544039+00,2025-08-05 17:59:26.145403+00,skatter,true
38,277,Skatt på årets resultat,8900,8979,,,,,true,NORMAL,SkattAretsResultat,SkattAretsResultat,false,,false,xbrli:monetaryItemType,DEBIT,true,DURATION,2025-08-04 13:19:34.592888+00,2025-08-05 17:59:26.145403+00,skatter,true
39,278,Övriga skattekostnader,8980,8989,,,,,true,NORMAL,OvrigaSkatter,OvrigaSkatter,false,,false,xbrli:monetaryItemType,DEBIT,true,DURATION,2025-08-04 13:19:34.645252+00,2025-08-05 17:28:28.801735+00,skatter,false
40,279,Årets resultat,8990,8999,,,,,true,S1,SumAretsResultat,AretsResultat,true,SumResultatForeSkatt+SkattAretsResultat+OvrigaSkatter,false,xbrli:monetaryItemType,CREDIT,true,DURATION,2025-08-04 13:19:34.696383+00,2025-08-05 17:59:26.145403+00,,true
